"Nível 1","Nível 2","Nível 3","Nível 4","2024"
"Floresta","","","",506710629.79562855
"Floresta","Formação Florestal","","",356667342.5783223
"Floresta","Restinga Arbórea","","",601099.5301618718
"Floresta","Floresta Alagável","","",38251813.821588345
"Floresta","Mangue","","",1044306.8901987744
"Floresta","Formação Savânica","","",110146066.9753573
"Vegetação Herbácea e Arbustiva","","","",46595174.25954165
"Vegetação Herbácea e Arbustiva","Formação Campestre","","",26622265.510433845
"Vegetação Herbácea e Arbustiva","Restinga Herbácea","","",616303.8745878377
"Vegetação Herbácea e Arbustiva","Campo Alagado e Área Pantanosa","","",17627298.85052432
"Vegetação Herbácea e Arbustiva","Afloramento Rochoso","","",1676655.85156886
"Vegetação Herbácea e Arbustiva","Apicum","","",52650.17242678183
"Agropecuária","","","",273169328.8749339
"Agropecuária","Agricultura","","",62663109.35103244
"Agropecuária","Agricultura","Lavoura Perene","",2447875.9008105546
"Agropecuária","Agricultura","Lavoura Perene","Outras Lavouras Perenes",570679.173959908
"Agropecuária","Agricultura","Lavoura Perene","Café",1237621.765681259
"Agropecuária","Agricultura","Lavoura Perene","Citrus",397740.336608675
"Agropecuária","Agricultura","Lavoura Perene","Dendê",241834.62456071278
"Agropecuária","Agricultura","Lavoura Temporária","",60215233.45022189
"Agropecuária","Agricultura","Lavoura Temporária","Arroz",1126243.599038787
"Agropecuária","Agricultura","Lavoura Temporária","Soja",40727267.93892077
"Agropecuária","Agricultura","Lavoura Temporária","Cana",10080445.115064409
"Agropecuária","Agricultura","Lavoura Temporária","Algodão",157200.3357244328
"Agropecuária","Agricultura","Lavoura Temporária","Outras Lavouras Temporárias",8124076.461473478
"Agropecuária","Silvicultura","","",8948339.088880388
"Agropecuária","Mosaico de Usos","","",46552478.93292988
"Agropecuária","Pastagem","","",155005401.5020912
"Área Não Vegetada","","","",6616493.904519403
"Área Não Vegetada","Usina Fotovoltaica","","",35317.96425171476
"Área Não Vegetada","Outras Áreas Não Vegetadas","","",1030476.6230954415
"Área Não Vegetada","Mineração","","",609636.6888986372
"Área Não Vegetada","Praia, Duna e Areal","","",393093.8001316031
"Área Não Vegetada","Área Urbanizada","","",4547968.828142007
"Água e Ambiente Marinho","","","",17590261.77738991
"Água e Ambiente Marinho","Rio, Lago e Oceano","","",17509269.45474881
"Água e Ambiente Marinho","Aquicultura","","",80992.32264110031
"Não Observado","","","",0
